"school.name","town","pct.first.language.not.english","pct.students.with.disabilities","pct.economically.disadvantaged","pct.african.american","pct.asian","pct.hispanic","pct.white","pct.native.american","pct.native.hawaiian.pacific.islander","pct.multi.race.non.hispanic","pct.males","pct.females","average.teacher.salary","average.in.district.expenditures.per.pupil","pct.attending.college","sum.SAT","ratio.gender"
"Algonquin Regional High","Northborough",9.3,11.3,5.5,1.2,10.2,4.7,80.8,0.1,0.3,2.6,47.1,52.9,86947,15029.52,93.1,1669,0.890359168241966
"Northbridge High","Whitinsville",3.3,13.2,24,0.5,1.2,7.7,87.8,0,0,2.7,52.4,47.6,68961,11818.16,57.6,1458,1.10084033613445
"Northeast Metro Regional Vocational","Wakefield",19.1,23.2,30.8,2.9,1.7,27,66.7,0,0.2,1.6,54.1,45.9,82279,20309.02,47.7,1306,1.17864923747277
"Charles McCann Vocational Technical","North Adams",0,19.2,30.2,1,0.2,3.1,92.8,0.2,0,2.7,63,37,78016,19790.59,42.6,1400,1.7027027027027
"Norton High","Norton",1,13.8,13.6,1.7,1.6,1.7,93.4,0,0.4,1.2,50.6,49.4,65933,12135.69,80.4,1535,1.02429149797571
"Norwell High","Norwell",0.7,10,3.5,0.4,2.1,2,94.1,0,0.1,1.3,48,52,76313,13584.7,89.9,1657,0.923076923076923
"Norwood High","Norwood",13.9,15.6,20.4,12.7,3.9,9.5,72.2,0,0,1.7,50.4,49.6,73187,14396.05,82.9,1541,1.01612903225806
"Old Colony Regional Vocational Technical","Rochester",0.2,23.6,17.6,0.9,0.5,0.4,96.5,0,0,1.6,61.7,38.3,73771,19290.69,46.5,1348,1.61096605744125
"Old Rochester Regional High","Mattapoisett",0.9,11.1,7.9,2.3,2.3,1.7,91.6,0.1,0,2,49.2,50.8,79836,14163.61,86.7,1613,0.968503937007874
"Oxford High","Oxford",2.4,13.8,34.8,1.9,1.7,9.5,82.9,0.4,0,3.7,49.6,50.4,65892,12898.4,76.6,1511,0.984126984126984
"Palmer High","Palmer",3.5,18.5,30.7,2.9,1.9,6.2,87,0,0,2.1,53.7,46.3,67521,13140.45,77,1500,1.15982721382289
"Pathfinder Vocational Technical","Palmer",0.2,25.7,36.6,0.6,0.8,5.7,88.2,0.8,0,3.9,60.2,39.8,68920,22674.12,40.5,1306,1.51256281407035
"Peabody Veterans Memorial High","Peabody",5.4,19.2,27.4,4,2.1,15.7,76.2,0,0,1.9,50.8,49.2,75438,12513.29,75.9,1481,1.03252032520325
"Pembroke High School","Pembroke",0.3,10.3,10.7,0.9,0.8,0.4,97,0,0.4,0.4,50.2,49.8,75527,10967.3,76,1527,1.00803212851406
"Pentucket Regional Sr High","West Newbury",0.1,11.3,8.7,0.3,1.2,2.3,95.5,0,0,0.7,47.5,52.5,71532,13266.92,83.6,1584,0.904761904761905
"Pioneer Valley Regional","Northfield",0.5,12.7,16.6,2,1,1.7,92.9,0.2,0,2.2,48.7,51.3,53763,15478.08,69.6,1524,0.949317738791423
"Pittsfield High","Pittsfield",10.3,25.7,38.4,10.8,2.1,11.5,70.8,0.1,0,4.6,51.5,48.5,64515,14780.04,70.1,1489,1.06185567010309
"Taconic High","Pittsfield",5.1,17.6,40.7,12.9,1.4,6.9,71.8,0.3,0,6.7,51.6,48.4,64515,14780.04,72.8,1473,1.06611570247934
"Plymouth North High","Plymouth",4.3,16.7,23.6,2.8,1.5,5.7,86.7,0.2,0.1,3.1,51.1,48.9,66619,14504,74.5,1433,1.04498977505112
"Plymouth South High","Plymouth",0.5,20.8,16.5,1.7,0.9,2.8,90.3,0.8,0.3,3.3,53.3,46.7,66619,14504,62.8,1413,1.14132762312634
"Quabbin Regional High School","Barre",1.9,14.9,19.7,0.6,0.9,4.7,90.7,0,0,3.1,49.3,50.7,72643,13330.43,76.9,1509,0.972386587771203
"Quaboag Regional High","Warren",6,12.6,35.1,0.5,0.5,7.1,89,0,0,2.7,49.6,50.4,68731,12024.58,63.6,1508,0.984126984126984
"North Quincy High","Quincy",46.3,12.6,33.1,2.4,58.4,2.9,35.2,0.2,0,0.9,50.5,49.4,76182,14652.63,79.5,1432,1.02226720647773
"Quincy High","Quincy",24.4,19.3,34.7,10.4,20.6,7.1,58.4,0.1,0.3,2.9,53.6,46.3,76182,14652.63,70.5,1459,1.15766738660907
"Ralph C Mahar Regional","Orange",1.3,16.4,40.3,2.4,1.3,6.8,84.6,0.5,0,4.6,50.7,49.3,61118,13676.76,70.3,1506,1.02839756592292
"Randolph High","Randolph",45.1,19.3,42.7,57.6,18.3,10.9,8.8,0.3,0.4,3.7,54.1,45.9,66818,15205.13,74.4,1324,1.17864923747277
"Reading Memorial High","Reading",2.1,18.1,5.9,2.3,4.4,1,91.1,0.2,0,1,48.9,51.1,70262,11748.11,91.7,1623,0.956947162426614
"Revere High","Revere",60.4,10.1,38.4,4.7,6.2,54.1,32.7,0.2,0,2.2,49.5,50.5,78788,13168.71,69,1316,0.98019801980198
"Rockland Senior High","Rockland",5.1,3.8,27.3,4.7,0.3,8.1,82.6,0,0,4.3,52.5,47.5,71109,13006.66,71.8,1449,1.10526315789474
"Rockport High","Rockport",1.4,16.7,13.3,1.4,1,2.4,92.5,0,0,2.7,51.7,48.3,74556,15317.98,84.8,1561,1.0703933747412
"Salem High","Salem",33.8,24.5,45.4,7.7,2.3,43,43,0.2,0,3.9,51.8,48.2,73185,17572.31,69.6,1437,1.0746887966805
"Sandwich High","East Sandwich",1,14.2,9.7,1.1,2.3,1.4,94.9,0.1,0,0.1,51.9,48.1,91022,14225.47,84.1,1558,1.07900207900208
"Saugus High","Saugus",12.8,12.8,25.7,5.5,5.9,12.4,75.4,0.4,0,0.4,50.3,49.7,69552,13789.22,84.6,1474,1.01207243460765
"Scituate High School","Scituate",1,12.3,10,2.6,1.3,0.2,94.3,0,0.1,1.4,47.3,52.7,78313,13037.81,90.2,1638,0.89753320683112
"Seekonk High","Seekonk",3.1,14.9,14.6,1.9,2.4,2.9,90.6,0,0,2.2,46.8,53.2,75935,13116,85.4,1579,0.879699248120301
"Sharon High","Sharon",18.5,12.5,6.2,8.1,22.1,3.8,62.9,0,0,3,51.2,48.8,78087,14618.81,87,1752,1.04918032786885
"Shawsheen Valley Vocational Technical High School","Billerica",0.9,24,13.1,1.5,0.7,4.3,91.5,0.3,0,1.6,57.5,42.5,82948,19508.76,55.3,1407,1.35294117647059
"Shrewsbury Sr High","Shrewsbury",22.7,11.6,8,1.9,20.6,7.5,67.1,0.2,0.1,2.6,46.7,53.1,75488,11977.91,93.5,1665,0.879472693032015
"Silver Lake Regional High","Kingston",0.3,16.1,14.9,1.6,0.7,1,95.9,0,0.2,0.5,52.5,47.5,79060,14167.49,75.4,1568,1.10526315789474
"Somerset Berkley Regional High School","Somerset",1.4,9.8,13.9,1.4,0.5,2.5,92.5,0,0,3.1,46.8,53.2,62858,14395.45,86.5,1558,0.879699248120301
"Somerville High","Somerville",57.4,16.9,39.6,13.6,9.4,45.8,30.5,0,0,0.7,54.7,45.3,71541,17472.82,72.8,1406,1.2075055187638
"South Hadley High","South Hadley",1.5,13.4,19.3,3.1,1.7,7.2,86.8,0,0.4,0.9,50.3,49.7,69927,13909.41,79.9,1511,1.01207243460765
"Joseph P Keefe Technical High School","Framingham",20.1,44.4,38.1,5.9,0.1,46.3,43.5,0.8,0,3.3,56.9,43.1,75650,25757.56,43.8,1257,1.32018561484919
"So Shore Vocational Technical High","Hanover",0.2,30.8,25.6,0.8,0.5,3.3,92.8,0,0.2,2.5,66.4,33.6,85595,20257.67,42.7,1354,1.97619047619048
"Southeastern Regional Vocational Technical","South Easton",23.7,21.2,39.1,32.6,1.4,11.7,50.4,0.1,0,3.9,51.2,48.8,81685,20048.2,55.8,1257,1.04918032786885
"Mt Everett Regional","Sheffield",4.1,18.2,29.5,0.7,0,6.8,87,0,0,5.5,51,49,70660,21153.42,71.9,1515,1.04081632653061
"Bay Path Regional Vocational Technical High School","Charlton",0.4,14.6,26.8,0.5,0.4,6.7,91.3,0.1,0,0.9,58,42,72553,18222.32,42.3,1361,1.38095238095238
"Southwick Regional School","Southwick",2.4,19,16.8,1.9,0.4,3.8,92.8,0,0,1.1,50.6,49.4,62747,12917.28,81.4,1538,1.02429149797571
"David Prouty High","Spencer",1.5,11.8,32.8,1.2,1.2,8.6,84,0,0,5,54.4,45.6,62539,12195,68.8,1521,1.19298245614035
"High School Of Commerce","Springfield",37.6,21.9,73.8,19.8,1.5,69.3,8.2,0,0,1.1,53.2,46.8,65293,15139.18,56.7,1047,1.13675213675214
"Roger L. Putnam Vocational Technical Academy","Springfield",28.2,16,65.8,19.5,1.6,65.5,12.6,0,0,0.9,45.8,54.2,65293,15139.18,58.4,1065,0.845018450184502
"Springfield Central High","Springfield",26.6,16.3,62.4,24.1,6,51.5,17,0,0.1,1.1,51.8,48.2,65293,15139.18,75.4,1199,1.0746887966805
"Springfield High School of Science and Technology","Springfield",34.7,21.5,73.9,17.3,2.3,68.4,11.3,0,0.1,0.7,58.8,41.2,65293,15139.18,54.3,974,1.42718446601942
"The Springfield Renaissance School an Expeditionary Learning School","Springfield",11.6,15.8,47.8,25.2,1.4,47,25.4,0,0.1,0.8,51.6,48.4,65293,15139.18,84.4,1294,1.06611570247934
"Stoneham High","Stoneham",10.2,12.4,12.8,2.8,3.5,5.2,86.3,0.1,0,2.1,49.3,50.7,66693,13776.58,88.1,1485,0.972386587771203
"Stoughton High","Stoughton",15.1,12.3,22,22.2,5.5,5.9,64.5,0,0.1,1.8,51.8,48.2,76466,12885.55,84,1532,1.0746887966805
"Sutton High School","Sutton",0.5,10.8,7,0.2,0.9,1.6,92.5,0.2,0,4.5,49.1,50.9,72210,12034.34,86.8,1546,0.964636542239686
"Swampscott High","Swampscott",6.9,12.3,13.1,4.6,2.1,9.7,81.5,0,0.4,1.6,49.2,50.8,75877,14213.39,90.6,1570,0.968503937007874
"Joseph Case High","Swansea",1.5,10,21.6,1.7,1.3,1.7,93.9,0.2,0,1.1,52.7,47.3,62775,12650.1,72.5,1555,1.11416490486258
"Tantasqua Regional Sr High","Fiskdale",0.9,5.9,12.9,0.5,1.4,4.1,91.2,0.1,0,2.6,43.6,56.4,73069,13279.14,83.6,1638,0.773049645390071
"Tantasqua Regional Vocational","Fiskdale",0.4,18.7,23.3,0.2,0.4,5,91.5,0.6,0,2.2,61.4,38.6,73069,13279.14,50,1463,1.59067357512953
"Taunton High","Taunton",9.9,14.6,37.1,14.5,1.8,11.8,67.9,0.1,0.3,3.6,50.1,49.8,73662,11409.87,72.2,1472,1.00602409638554
"Tewksbury Memorial High","Tewksbury",1.4,14.4,12.3,1.5,2.6,2.9,92.6,0,0.2,0.3,52.8,47.2,73944,13517.2,77.7,1496,1.11864406779661
"Tri-County Regional Vocational Technical","Franklin",0.5,29.5,20.8,0.4,0.7,4.6,89.2,0.4,0.2,4.5,55,44.9,79134,17805.51,58.4,1443,1.22494432071269
"Triton Regional High School","Byfield",3.4,12.7,14.2,0.8,1.7,2.2,94.7,0,0,0.6,47.9,52.1,75098,14409.75,82.3,1591,0.919385796545106
"Tyngsborough High School","Tyngsborough",2.6,8.9,9.1,2.2,6.1,3.6,85.2,0,0,3,49.3,50.7,71705,12878.87,83,1479,0.972386587771203
"Upper Cape Cod Vocational Technical","Bourne",0,17.5,25.8,4.4,1.7,1.4,87.6,0.6,0,4.4,61.8,38.2,68731,21405.21,62.2,1383,1.61780104712042
"Uxbridge High","Uxbridge",3.5,14.9,17.2,1.5,1.5,2.7,91.9,0.6,0.2,1.7,53.5,46.5,70226,12732.51,72.9,1532,1.1505376344086
"Wachusett Regional High","Holden",3.2,12.5,8.6,1.9,3.2,4.1,88.9,0,0.2,1.7,47.3,52.7,68835,10896.5,84.6,1616,0.89753320683112
"Wakefield Memorial High","Wakefield",3.1,14.1,12.7,3.1,3.1,2.9,88.6,0.2,0.3,2,47.9,52.1,68907,12852.83,87.5,1582,0.919385796545106
"Walpole High","Walpole",6.6,12.9,8.3,4.2,3.5,4.5,86.7,0.2,0,0.9,48.9,51.1,74124,13347.16,88.3,1589,0.956947162426614
"Waltham Sr High","Waltham",45,16.8,26,11.6,5,38.3,42.2,0.2,0.3,2.3,54.1,45.9,75383,18967.44,74.3,1444,1.17864923747277
"Ware Junior/Senior High School","Ware",2.3,16.6,40.6,2.5,1.1,8.8,83.8,0.4,0.2,3.2,52.4,47.6,61266,13467.5,58.3,1417,1.10084033613445
"Wareham Senior High","Wareham",1.2,23,42.9,9.7,1.5,9.8,67.6,0.8,0.2,10.4,51,49,68502,14305.66,76.3,1414,1.04081632653061
"Watertown High","Watertown",36.3,21.1,23.6,3.2,6.5,13,73.6,0.8,0.2,2.9,50.2,49.8,76887,18515.43,85.6,1524,1.00803212851406
"Wayland High School","Wayland",8.6,20.5,3.6,4.8,15,5.4,70.4,0,0.1,4.2,53.1,46.9,89900,16892.74,87.4,1807,1.13219616204691
"Bartlett High School","Webster",11.5,15.8,40.9,4.3,2.9,14.7,73.1,0,0,5,54.2,45.8,71242,13537.92,70.3,1454,1.18340611353712
"Wellesley Sr High","Wellesley",7.2,15.5,6.5,6.1,11.6,4.7,73.5,0,0.1,4,48.2,51.8,90041,16915.79,85.8,1813,0.930501930501931
"West Boylston Junior/Senior High","West Boylston",2.5,12.7,17,1.6,0.8,9.2,85,0.2,0,3.3,47.6,52.4,70796,13960.91,92.3,1552,0.908396946564886
"West Bridgewater Junior/Senior","West Bridgewater",0.8,7.9,14.1,3.1,1.3,2.4,90.8,0.2,0.2,2.1,44.9,55.1,66220,11117.07,86.9,1510,0.814882032667877
"West Springfield High","West Springfield",28.8,18.9,38.5,3.6,6.8,14.4,73.2,0.1,0.1,1.9,52.3,47.7,67340,12440.45,70.2,1474,1.09643605870021
"Westborough High","Westborough",18.3,10.7,7.6,2,21.2,4.5,70.1,0,0,2.3,49.3,50.7,78661,13568.55,85.5,1768,0.972386587771203
"Westfield High","Westfield",5.4,15.1,26.6,2.9,3.2,11.1,80.6,0.2,0.2,1.9,45.3,54.7,67184,13466.39,77.1,1556,0.828153564899451
"Westfield Technical Academy","Westfield",7.6,28.3,34.4,2.2,1.9,6.3,88,0.2,0.2,1.3,63.9,36.1,67184,13466.39,46.7,1309,1.77008310249307
"Westford Academy","Westford",10.1,9.8,3.6,0.7,20.5,1.1,74.1,0,0,3.6,51,49,76165,12435.21,91,1786,1.04081632653061
"Weston High","Weston",13.2,17,5.8,5.9,17,4.8,67.1,0.6,0,4.5,50.6,49.4,93953,21826.2,82,1834,1.02429149797571
"Westwood High","Westwood",3.4,18.1,4.1,3,7,1.9,86.5,0,0,1.6,47.4,52.6,86074,15349.89,87.9,1683,0.901140684410646
"Weymouth High School","Weymouth",8,15.4,24.7,4.3,4.8,6.8,81.3,0.2,0,2.7,52,48,79935,12778.32,62.7,1504,1.08333333333333
"Whitman Hanson Regional","Whitman",1.4,13.1,17.5,1.9,1.3,2.5,91.8,0.3,0.2,2.1,48.5,51.5,77887,11153.06,76.4,1516,0.941747572815534
"Whittier Regional Vocational","Haverhill",3.4,25.4,29.1,1.5,1.1,18.3,76,0.2,0,2.8,54.6,45.4,83260,18295.68,68.8,1371,1.20264317180617
"Wilmington High","Wilmington",2.4,13,8.1,2.4,5.2,3,87.5,0.1,0.1,1.7,49.4,50.6,71281,14116.94,86.9,1549,0.976284584980237
"Murdock High School","Winchendon",3.5,21.5,37,2.1,3.1,8,84.1,0.3,0,2.4,53.6,46.4,76449,13711.13,68.2,1383,1.1551724137931
"Winchester High School","Winchester",11.8,18,5.6,1.4,16.4,4.1,74.1,0.1,0,3.9,50.3,49.7,74033,12109.26,87.5,1790,1.01207243460765
"Winthrop High School","Winthrop",14.2,18.1,26.6,1.9,1.7,11.8,81.4,0.5,0,2.6,49.8,50.2,59424,12112.16,80.9,1444,0.99203187250996
"Woburn High","Woburn",17.6,14.3,22,6.1,6.4,11.9,73.8,0.1,0.2,1.6,49.1,50.8,73237,14451.77,76.3,1492,0.966535433070866
"Burncoat Senior High","Worcester",44,25.8,54.7,19.1,5.9,38.2,32.2,0.2,0,4.5,51.8,48.2,78256,13588.16,68.3,1355,1.0746887966805
"Claremont Academy","Worcester",78,11.7,65,9.2,9.8,72.4,7,0,0,1.7,50.4,49.6,78256,13588.16,59.3,1085,1.01612903225806
"Doherty Memorial High","Worcester",47.9,16.5,43.9,16.1,7.8,31.7,40.6,0.3,0,3.5,54.5,45.5,78256,13588.16,75.2,1405,1.1978021978022
"North High","Worcester",57.7,25.4,63.6,19.3,8.3,47.9,21,0.4,0,3.1,52.1,47.9,78256,13588.16,54.4,1193,1.08768267223382
"South High Community","Worcester",57.3,23.8,58.6,17.1,12.7,43.7,23.9,0.1,0,2.5,52.9,47.1,78256,13588.16,60.6,1345,1.12314225053079
"University Pk Campus School","Worcester",68.5,11,57.1,11.4,19.7,53.5,11.8,0.4,0,3.1,55.1,44.9,78256,13588.16,72.4,1334,1.2271714922049
"Worcester Technical High","Worcester",40.6,12.6,43.8,16.6,6.6,36.8,37.1,0,0,3,42.6,57.4,78256,13588.16,67.2,1291,0.742160278745645
